Date,PG Adj. Close,PG P/S (LTM),PG P/FCF (LTM),PG P/E (LTM),PG Debt/Equity (LTM),actual_returns,ps_sma_fast,ps_sma_fast30,ps_sma_slow,ps_ema_fast,ps_ema_fast30,ps_ema_slow,pfcf_sma_fast,pfcf_sma_fast30,pfcf_sma_slow,pfcf_ema_fast,pfcf_ema_fast30,pfcf_ema_slow,pe_sma_fast,pe_sma_fast30,pe_sma_slow,pe_ema_fast,pe_ema_fast30,pe_ema_slow,ps_Signal_sma,ps_Signal_ema,ps_Signal_sma30,ps_Signal_ema30,pfcf_Signal_sma,pfcf_Signal_ema,pfcf_Signal_sma30,pfcf_Signal_ema30,pe_Signal_sma,pe_Signal_ema,pe_Signal_sma30,pe_Signal_ema30,ps_Entry/Exit_sma,ps_Entry/Exit_ema,ps_Entry/Exit_sma30,ps_Entry/Exit_ema30,pfcf_Entry/Exit_sma,pfcf_Entry/Exit_ema,pfcf_Entry/Exit_sma30,pfcf_Entry/Exit_ema30,pe_Entry/Exit_sma,pe_Entry/Exit_ema,pe_Entry/Exit_sma30,pe_Entry/Exit_ema30,ps_Position_sma,ps_Position_ema,ps_Position_sma30,ps_Position_ema30,pfcf_Position_sma,pfcf_Position_ema,pfcf_Position_sma30,pfcf_Position_ema30,pe_Position_sma,pe_Position_ema,pe_Position_sma30,pe_Position_ema30,ps_Entry/Exit Position_sma,ps_Entry/Exit Position_ema,ps_Entry/Exit Position_sma30,ps_Entry/Exit Position_ema30,pfcf_Entry/Exit Position_sma,pfcf_Entry/Exit Position_ema,pfcf_Entry/Exit Position_sma30,pfcf_Entry/Exit Position_ema30,pe_Entry/Exit Position_sma,pe_Entry/Exit Position_ema,pe_Entry/Exit Position_sma30,pe_Entry/Exit Position_ema30,ps_Portfolio Holdings_sma,ps_Portfolio Holdings_ema,ps_Portfolio Holdings_sma30,ps_Portfolio Holdings_ema30,pfcf_Portfolio Holdings_sma,pfcf_Portfolio Holdings_ema,pfcf_Portfolio Holdings_sma30,pfcf_Portfolio Holdings_ema30,pe_Portfolio Holdings_sma,pe_Portfolio Holdings_ema,pe_Portfolio Holdings_sma30,pe_Portfolio Holdings_ema30,ps_Portfolio Cash_sma,ps_Portfolio Cash_ema,ps_Portfolio Cash_sma30,ps_Portfolio Cash_ema30,pfcf_Portfolio Cash_sma,pfcf_Portfolio Cash_ema,pfcf_Portfolio Cash_sma30,pfcf_Portfolio Cash_ema30,pe_Portfolio Cash_sma,pe_Portfolio Cash_ema,pe_Portfolio Cash_sma30,pe_Portfolio Cash_ema30,ps_Portfolio Total_sma,ps_Portfolio Total_ema,ps_Portfolio Total_sma30,ps_Portfolio Total_ema30,pfcf_Portfolio Total_sma,pfcf_Portfolio Total_ema,pfcf_Portfolio Total_sma30,pfcf_Portfolio Total_ema30,pe_Portfolio Total_sma,pe_Portfolio Total_ema,pe_Portfolio Total_sma30,pe_Portfolio Total_ema30,ps_Portfolio Daily Returns_sma,ps_Portfolio Daily Returns_ema,ps_Portfolio Daily Returns_sma30,ps_Portfolio Daily Returns_ema30,pfcf_Portfolio Daily Returns_sma,pfcf_Portfolio Daily Returns_ema,pfcf_Portfolio Daily Returns_sma30,pfcf_Portfolio Daily Returns_ema30,pe_Portfolio Daily Returns_sma,pe_Portfolio Daily Returns_ema,pe_Portfolio Daily Returns_sma30,pe_Portfolio Daily Returns_ema30,ps_Portfolio Cumulative Returns_sma,ps_Portfolio Cumulative Returns_ema,ps_Portfolio Cumulative Returns_sma30,ps_Portfolio Cumulative Returns_ema30,pfcf_Portfolio Cumulative Returns_sma,pfcf_Portfolio Cumulative Returns_ema,pfcf_Portfolio Cumulative Returns_sma30,pfcf_Portfolio Cumulative Returns_ema30,pe_Portfolio Cumulative Returns_sma,pe_Portfolio Cumulative Returns_ema,pe_Portfolio Cumulative Returns_sma30,pe_Portfolio Cumulative Returns_ema30
2019-01-02,79.924749488416,3.400914508531607,20.41800612955648,23.84233550406684,,,,,,3.400914508531607,3.400914508531607,3.400914508531607,,,,20.41800612955648,20.41800612955648,20.41800612955648,,,,23.84233550406684,23.84233550406684,23.84233550406684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,79.364365618208,3.377069358596659,20.274847453761897,23.675167507497804,,-0.007011393514461,,,,3.396579026725252,3.3993761117616104,3.400442327344776,,,,20.391977279412007,20.40877008595683,20.415171304293217,,,,23.811941322872467,23.831550472030127,23.839025246709035,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,39682.182809104,0.0,39682.182809104,0.0,39682.182809104,0.0,39682.182809104,0.0,39682.182809104,0.0,39682.182809104,100000.0,60317.817190896,100000.0,60317.817190896,100000.0,60317.817190896,100000.0,60317.817190896,100000.0,60317.817190896,100000.0,60317.817190896,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,80.98422524302799,3.44599674511358,20.688665500897827,24.158387497483528,,0.0204104148278905,,,,3.4055640664322206,3.402383894558512,3.4013443950233664,,,,20.44592059240943,20.426827854662704,20.420587030958657,,,,23.874931536438115,23.8526367317368,23.845349251674868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,0.0,-500.0,0.0,-500.0,0.0,-500.0,0.0,-500.0,0.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993
2019-01-07,80.66025331806401,3.432211267807205,20.605901891452685,24.06174349946541,,-0.0040004324791867,,,,3.410409012136763,3.404308241219718,3.4019556202270067,,,,20.475008101326384,20.438381018326574,20.42425663215656,,,,23.90889734789762,23.8661274909451,23.849634286284584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993
2019-01-08,80.957957249112,3.444879003708744,20.681954937960136,24.15055149763289,,0.0036908380373423,,,,3.4166762833316686,3.406925709767397,3.402805588216744,,,,20.512634798896155,20.454095464754545,20.42935956890514,,,,23.952834466031305,23.884477426860443,23.855593042944943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993
2019-01-09,79.63580155534001,3.388619353093361,20.344189937331656,23.75613950581464,,-0.0163313865455331,,,,3.41157502328834,3.4057446544981045,3.4025246726697462,,,,20.48200846042988,20.447004785565973,20.42767304154725,,,,23.91707174599191,23.87619756098652,23.85362366597207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993
2019-01-10,79.82843351072401,3.3968161233755554,20.393400732088345,23.813603504579547,,0.0024189114898296,,,,3.4088915869405607,3.405168620232134,3.402411632089663,,,,20.465897964367784,20.44354645953516,20.426994381954007,,,,23.89825933846239,23.87215923476672,23.85283118752865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993
2019-01-11,80.353793389044,3.4191709514423723,20.5276119906626,23.97032350138268,,0.006581112207963,,,,3.4107605623045263,3.406071996439246,3.4027434997996178,,,,20.477118696421385,20.448970042188545,20.428986809849224,,,,23.911361913538805,23.87849241325807,23.855157768001007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993
2019-01-14,79.81092151478,3.396070962448968,20.38892702352308,23.808379504749016,,-0.0067560204859975,,,,3.408089725967152,3.4054267684398734,3.4026113703471297,,,,20.46108384680351,20.44509629904884,20.42819354675365,,,,23.892637839213386,23.873968999805875,23.8542314657584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993
2019-01-15,80.56393734037201,3.4281128826661083,20.58129649407434,24.03301150008296,,0.0094349972572682,3.412986115678416,,,3.411730299912417,3.406890388712534,3.4031163507890896,20.490480209130904,,,20.482940691761844,20.45388340840533,20.43122528828476,23.92696430227553,,,23.918160323007854,23.884229806275368,23.85777166445789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,100000.0,100809.92981241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993,0.0,0.00809929812409993
